Numero Ticket|Tipo de caso|Categoria|Tipo|Item|Resumen|Matri|Ubicacion|Numero Telefonico|Indicador Vip|Region|Service Desk|Modo de reporte|Estado|Fecha Creacion|Fecha Termino|Fecha Cierre|Prioridad|Grupos asignado|Grupo creador
WO0000004853311||MOBILIARIO|EQUIPO|CONTADOR DE BILLETES|REPARAR|E18442|TUPAC AMARU - 191038|###|2|Lim1Reg2|Zona Centro|Web HD|Cerrado|2023-01-02|10/01/2023|13/01/2023|3|MANTENIMIENTO LIMA 1|
WO0000004852942||MOBILIARIO|EQUIPO|CONTADOR DE BILLETES|REPARAR|S13337|SAN JUAN DE LURIGANCHO - 191017|###|2|Lim3Reg5|Zona Centro|Web HD|Cerrado|2023-01-02|2/01/2023|5/01/2023|3|MANTENIMIENTO LIMA 1|
WO0000004852621||MOBILIARIO|EQUIPO|CONTADOR DE BILLETES|REPARAR|S13425|MARIANO MELGAR - 215014|###|2|Prov2RegSur1|Zona Norte|Web HD|Cerrado|2023-01-02|6/01/2023|9/01/2023|3|MANTENIMIENTO PROV 2 - SUR|
SA0000004853328||MOBILIARIO|EQUIPO|CONTADOR DE BILLETES|REPARAR|E18302|ANDAHUAYLAS - 205000|###|2|Prov2RegSur2|Zona Norte|Web HD|Cerrado|2023-01-02|7/01/2023|10/01/2023|3|MANTENIMIENTO PROV 2 - SUR|
SA0000004853160||MOBILIARIO|EQUIPO|CONTADOR DE BILLETES|REPARAR|S10534|COLLIQUE - 191065|###|2|NULL|Zona Centro|Web HD|Cerrado|2023-01-02|4/01/2023|7/01/2023|3|MANTENIMIENTO LIMA 1|
SA0000004853158||MOBILIARIO|EQUIPO|CONTADOR DE BILLETES|REPARAR|S10534|COLLIQUE - 191065|###|2|NULL|Zona Centro|Web HD|Cerrado|2023-01-02|6/01/2023|9/01/2023|3|MANTENIMIENTO LIMA 1|
SA0000004853157||MOBILIARIO|EQUIPO|CONTADOR DE BILLETES|REPARAR|S10534|COLLIQUE - 191065|###|2|NULL|Zona Centro|Web HD|Cerrado|2023-01-02|4/01/2023|7/01/2023|3|MANTENIMIENTO LIMA 1|
SA0000004853156||MOBILIARIO|EQUIPO|CONTADOR DE BILLETES|REPARAR|S10534|COLLIQUE - 191065|###|2|NULL|Zona Centro|Web HD|Cerrado|2023-01-02|15/01/2023|18/01/2023|3|MANTENIMIENTO LIMA 1|
WO0000004853328||MOBILIARIO|EQUIPO|CONTADOR DE BILLETES|REPARAR|E18302|ANDAHUAYLAS - 205000|###|2|Prov2RegSur2|Zona Norte|Web HD|Cerrado|2023-01-02|7/01/2023|10/01/2023|3|MANTENIMIENTO PROV 2 - SUR|
WO0000004853160||MOBILIARIO|EQUIPO|CONTADOR DE BILLETES|REPARAR|S10534|COLLIQUE - 191065|###|2|NULL|Zona Centro|Web HD|Cerrado|2023-01-02|4/01/2023|7/01/2023|3|MANTENIMIENTO LIMA 1|
WO0000004853158||MOBILIARIO|EQUIPO|CONTADOR DE BILLETES|REPARAR|S10534|COLLIQUE - 191065|###|2|NULL|Zona Centro|Web HD|Cerrado|2023-01-02|6/01/2023|9/01/2023|3|MANTENIMIENTO LIMA 1|
WO0000004853157||MOBILIARIO|EQUIPO|CONTADOR DE BILLETES|REPARAR|S10534|COLLIQUE - 191065|###|2|NULL|Zona Centro|Web HD|Cerrado|2023-01-02|4/01/2023|7/01/2023|3|MANTENIMIENTO LIMA 1|
WO0000004853156||MOBILIARIO|EQUIPO|CONTADOR DE BILLETES|REPARAR|S10534|COLLIQUE - 191065|###|2|NULL|Zona Centro|Web HD|Cerrado|2023-01-02|15/01/2023|18/01/2023|3|MANTENIMIENTO LIMA 1|
WO0000004854678||MOBILIARIO|EQUIPO|AIRE ACONDICIONADO|REPARAR|S01707|MEGA PLAZA - 191010|###|2|Lim1Reg3|Zona Centro|Web HD|Cerrado|2023-01-02|14/01/2023|17/01/2023|3|MANTENIMIENTO LIMA 1|
WO0000004853613||MOBILIARIO|EQUIPO|AIRE ACONDICIONADO|REPARAR|S26088|PROCERES - 191120|###|2|Lim1Reg4|Zona Centro|Web HD|Cerrado|2023-01-02|7/01/2023|10/01/2023|3|MANTENIMIENTO LIMA 1|
WO0000004853171||MOBILIARIO|EQUIPO|AIRE ACONDICIONADO|REPARAR|S16190|PLAZA UNION - 191062|###|2|Lim1Reg4|Zona Centro|Web HD|Cerrado|2023-01-02|6/01/2023|9/01/2023|3|MANTENIMIENTO LIMA 1|
WO0000004853139||MOBILIARIO|EQUIPO|AIRE ACONDICIONADO|REPARAR|U21826|METRO AV. WIESSE - 191106|###|2|Lim3Reg5|Zona Centro|Web HD|Cerrado|2023-01-02|11/01/2023|14/01/2023|3|MANTENIMIENTO LIMA 1|
WO0000004852175||MOBILIARIO|EQUIPO|AIRE ACONDICIONADO|REPARAR|S02215|LAS LOMAS - 191055|###|2|Lim3Reg5|Zona Centro|Web HD|Cerrado|2023-01-02|11/01/2023|14/01/2023|3|MANTENIMIENTO LIMA 1|
WO0000004851712||MOBILIARIO|EQUIPO|AIRE ACONDICIONADO|REPARAR|U22617|IZAGUIRRE - 191154|###|2|Lim1Reg1|Zona Centro|Web HD|Cerrado|2023-01-02|4/01/2023|7/01/2023|3|MANTENIMIENTO LIMA 1|
WO0000004854930||MOBILIARIO|EQUIPO|AIRE ACONDICIONADO|REPARAR|U22584|BELAUNDE - 191018|###|2|Lim1Reg2|Zona Centro|Web HD|Cerrado|2023-01-02|13/01/2023|16/01/2023|3|MANTENIMIENTO LIMA 1|
