Numero Ticket;Tipo de caso;Categoria;Tipo;Item;Resumen;Matri;Ubicacion;Numero Telefonico;Indicador Vip;Region;Service Desk;Modo de reporte;Estado;Fecha Creacion;Fecha Termino;Fecha Cierre;Prioridad;Grupos asignado;Grupo creador
WO0000004122687;R;MOBILIARIO;EQUIPO;CONTADOR DE BILLETES;REPARAR;S32525;AREQUIPA - 215000;###;1;NULL;Zona Norte;Web HD;Cerrado;2022-06-01;2022-06-14;2022-06-14;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
WO0000004122649;R;MOBILIARIO;EQUIPO;CONTADOR DE BILLETES;REPARAR;S27111;METRO AV. WIESSE - 191106;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-06-01;2022-06-17;2022-06-17;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004122502;R;MOBILIARIO;EQUIPO;DETECTOR DE BILLETES;REPARAR;S10545;NICOLAS AYLLON - 191027;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-06-01;2022-06-08;2022-06-08;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004122513;R;MOBILIARIO;EQUIPO;LAMPARA DE EMERGENCIA;REPARAR;E21497;JAUREGUI - 405005;###;1;NULL;Zona Norte;Web HD;Cerrado;2022-06-01;2022-06-18;2022-06-18;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
WO0000004122741;R;MOBILIARIO;EQUIPO;CONTADOR DE MONEDAS;REPARAR;NULL;CANTO GRANDE - 191096;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-06-01;2022-06-08;2022-06-08;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004122511;R;MOBILIARIO;DISP. DE SEGURIDAD;DETECTOR DE HUMO;REPARAR;U21826;CHIMPU OCLLO - 191113;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-06-01;2022-06-03;2022-06-03;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004122522;R;MOBILIARIO;CAJAS DE SEGURIDAD;CAJA PULMON;REPARAR;S28769;MINI AGENCIA BCP SALAMANCA - 191090;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-06-01;2022-06-07;2022-06-07;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004122302;R;MOBILIARIO;MOBILIARIO;SILLAS;REPARAR;S45039;IMPERIAL - 255001;###;1;NULL;Zona Norte;Web HD;Cerrado;2022-06-01;2022-06-10;2022-06-10;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004122360;R;MOBILIARIO;MOBILIARIO;CAJONERA;REPARAR;S42436;AREQUIPA - 215000;###;1;NULL;Zona Norte;Web HD;Cerrado;2022-06-01;2022-06-13;2022-06-13;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
WO0000004122688;R;MOBILIARIO;MOBILIARIO;COCHES;REPARAR;S32525;AREQUIPA - 215000;###;1;NULL;Zona Norte;Web HD;Cerrado;2022-06-01;2022-06-17;2022-06-17;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
